# Flight Log 
# 25 08 17 - 19:26:23
Time		X,Y,Z				goalX,goalY,goalZ		ddx,ddy,ddz			angularx,angulary,angularz	battery
19:26:23	0.000000,0.000000,0.000000	0.000000,0.000000,0.000000	0.000000,0.000000,0.000000	0.000000,0.000000,0.000000	0
19:26:23	0.965622,4.221135,0.389182	0.765837,4.212103,0.393144	-0.186812,0.146096,10.231523	0.965622,4.221135,0.389182	0
19:26:23	0.965631,4.221144,0.389173	0.765825,4.212246,0.393423	-0.189207,0.143701,10.229128	0.965631,4.221144,0.389173	4.04868030548
19:26:23	0.965629,4.221135,0.389173	0.765841,4.212138,0.393123	-0.184417,0.146096,10.231523	0.965629,4.221135,0.389173	4.04868030548
19:26:23	0.965622,4.221139,0.389187	0.765840,4.212103,0.393307	-0.184417,0.148491,10.233918	0.965622,4.221139,0.389187	4.04868030548
19:26:23	0.965623,4.221142,0.389187	0.765833,4.212114,0.393316	-0.179626,0.148491,10.226733	0.965623,4.221142,0.389187	4.04868030548
19:26:23	0.965624,4.221134,0.389177	0.765837,4.212123,0.393385	-0.177231,0.143701,10.231523	0.965624,4.221134,0.389177	4.04868030548
19:26:23	0.965626,4.221138,0.389179	0.765835,4.212137,0.393311	-0.184417,0.146096,10.229128	0.965626,4.221138,0.389179	4.04868030548
19:26:23	0.965617,4.221143,0.389169	0.765847,4.212140,0.393333	-0.172441,0.146096,10.224338	0.965617,4.221143,0.389169	4.04868030548
19:26:24	0.965623,4.221139,0.389186	0.765839,4.212119,0.393338	-0.182021,0.141306,10.226733	0.965623,4.221139,0.389186	4.04868030548
19:26:24	0.965623,4.221134,0.389180	0.765836,4.212224,0.393204	-0.186812,0.143701,10.226733	0.965623,4.221134,0.389180	4.04868030548
19:26:24	0.965625,4.221141,0.389179	0.765837,4.212131,0.393284	-0.182021,0.146096,10.233918	0.965625,4.221141,0.389179	4.05395889282
19:26:24	0.965621,4.221139,0.389178	0.765831,4.212167,0.393239	-0.179626,0.146096,10.224338	0.965621,4.221139,0.389178	4.05395889282
19:26:24	0.965626,4.221137,0.389179	0.765842,4.212150,0.393321	-0.191602,0.146096,10.229128	0.965626,4.221137,0.389179	4.04868030548
19:26:24	0.965625,4.221143,0.389171	0.765833,4.212082,0.393220	-0.177231,0.148491,10.224338	0.965625,4.221143,0.389171	4.04868030548
19:26:24	0.965624,4.221143,0.389178	0.765844,4.212041,0.393265	-0.177231,0.143701,10.229128	0.965624,4.221143,0.389178	4.04868030548
19:26:24	0.965624,4.221142,0.389169	0.765839,4.212033,0.393247	-0.186812,0.143701,10.226733	0.965624,4.221142,0.389169	4.04868030548
19:26:24	0.965623,4.221193,0.389254	0.765844,4.212017,0.393222	-0.179626,0.148491,10.226733	0.965623,4.221193,0.389254	4.04868030548
19:26:24	0.965628,4.221143,0.389183	0.765867,4.212103,0.393380	-0.184417,0.148491,10.224338	0.965628,4.221143,0.389183	4.04868030548
19:26:25	0.965625,4.221127,0.389178	0.765849,4.212005,0.393177	-0.179626,0.143701,10.229128	0.965625,4.221127,0.389178	4.04868030548
19:26:25	0.965620,4.221145,0.389179	0.765843,4.212003,0.393271	-0.177231,0.146096,10.243499	0.965620,4.221145,0.389179	4.04868030548
19:26:25	0.965639,4.221107,0.389209	0.765841,4.212004,0.393247	-0.179626,0.153281,10.238708	0.965639,4.221107,0.389209	4.04868030548
19:26:25	0.965627,4.221143,0.389185	0.765850,4.212025,0.393344	-0.177231,0.143701,10.226733	0.965627,4.221143,0.389185	4.04868030548
19:26:25	0.965618,4.221142,0.389179	0.765843,4.212022,0.393350	-0.177231,0.148491,10.226733	0.965618,4.221142,0.389179	4.04868030548
19:26:25	0.965625,4.221150,0.389188	0.765847,4.212031,0.393316	-0.179626,0.150886,10.231523	0.965625,4.221150,0.389188	4.04868030548
19:26:25	0.965620,4.221139,0.389179	0.765844,4.212033,0.393297	-0.182021,0.148491,10.229128	0.965620,4.221139,0.389179	4.04868030548
19:26:25	0.965624,4.221143,0.389174	0.765839,4.212040,0.393323	-0.182021,0.150886,10.233918	0.965624,4.221143,0.389174	4.04868030548
19:26:25	0.965624,4.221145,0.389181	0.765842,4.212093,0.393291	-0.174836,0.146096,10.241104	0.965624,4.221145,0.389181	4.04868030548
19:26:25	0.965620,4.221143,0.389189	0.765835,4.212101,0.393339	-0.179626,0.146096,10.236313	0.965620,4.221143,0.389189	4.04868030548
19:26:26	0.965629,4.221141,0.389177	0.765828,4.212229,0.393185	-0.177231,0.143701,10.233918	0.965629,4.221141,0.389177	4.04868030548
19:26:26	0.965625,4.221140,0.389181	0.765831,4.212226,0.393211	-0.179626,0.141306,10.233918	0.965625,4.221140,0.389181	4.04868030548
19:26:26	0.965633,4.221142,0.389182	0.765835,4.212229,0.393181	-0.182021,0.146096,10.236313	0.965633,4.221142,0.389182	4.04868030548
19:26:26	0.965629,4.221139,0.389166	0.765839,4.212204,0.393271	-0.177231,0.148491,10.226733	0.965629,4.221139,0.389166	4.04868030548
19:26:26	0.965626,4.221142,0.389183	0.765839,4.212201,0.393352	-0.172441,0.148491,10.229128	0.965626,4.221142,0.389183	4.04868030548
19:26:26	0.965627,4.221139,0.389183	0.765831,4.212197,0.393369	-0.184417,0.146096,10.233918	0.965627,4.221139,0.389183	4.04868030548
19:26:26	0.965621,4.221138,0.389188	0.765836,4.212219,0.393384	-0.177231,0.143701,10.231523	0.965621,4.221138,0.389188	4.04868030548
19:26:26	0.965625,4.221144,0.389183	0.765838,4.212209,0.393304	-0.184417,0.150886,10.229128	0.965625,4.221144,0.389183	4.04868030548
19:26:26	0.965622,4.221142,0.389176	0.765841,4.212305,0.393304	-0.179626,0.146096,10.236313	0.965622,4.221142,0.389176	4.04868030548
19:26:26	0.965632,4.221144,0.389179	0.765849,4.212206,0.393430	-0.174836,0.148491,10.229128	0.965632,4.221144,0.389179	4.04868030548
19:26:27	0.965624,4.221136,0.389180	0.765834,4.212292,0.393308	-0.179626,0.141306,10.231523	0.965624,4.221136,0.389180	4.04868030548
19:26:27	0.965631,4.221141,0.389182	0.765832,4.212298,0.393339	-0.184417,0.143701,10.238708	0.965631,4.221141,0.389182	4.04868030548
19:26:27	0.965625,4.221134,0.389180	0.765832,4.212301,0.393381	-0.179626,0.143701,10.238708	0.965625,4.221134,0.389180	4.04868030548
19:26:27	0.965627,4.221147,0.389182	0.765834,4.212303,0.393313	-0.174836,0.146096,10.241104	0.965627,4.221147,0.389182	4.04868030548
19:26:27	0.965628,4.221138,0.389172	0.765824,4.212320,0.393324	-0.174836,0.138911,10.238708	0.965628,4.221138,0.389172	4.04868030548
19:26:27	0.965626,4.221143,0.389182	0.765830,4.212303,0.393306	-0.182021,0.141306,10.226733	0.965626,4.221143,0.389182	4.04868030548
19:26:27	0.965636,4.221145,0.389177	0.765853,4.212412,0.393493	-0.177231,0.141306,10.238708	0.965636,4.221145,0.389177	4.04868030548
19:26:27	0.965627,4.221149,0.389184	0.765834,4.212328,0.393317	-0.182021,0.138911,10.233918	0.965627,4.221149,0.389184	4.04868030548
19:26:27	0.965625,4.221139,0.389185	0.765862,4.212038,0.393361	-0.182021,0.141306,10.231523	0.965625,4.221139,0.389185	4.04868030548
19:26:27	0.965625,4.221140,0.389181	0.765830,4.212234,0.393426	-0.179626,0.141306,10.224338	0.965625,4.221140,0.389181	4.04868030548
19:26:28	0.965625,4.221138,0.389181	0.765836,4.212214,0.393444	-0.182021,0.138911,10.238708	0.965625,4.221138,0.389181	4.04868030548
19:26:28	0.965623,4.221141,0.389180	0.765856,4.212155,0.393597	-0.182021,0.141306,10.231523	0.965623,4.221141,0.389180	4.04868030548
