# Flight Log 
# 25 08 17 - 16:10:32
Time		X,Y,Z				goalX,goalY,goalZ		ddx,ddy,ddz			angularx,angulary,angularz	battery
16:10:32	0.000000,0.000000,0.000000	0.000000,0.000000,0.000000	0.000000,0.000000,0.000000	0.000000,0.000000,0.000000	0
16:10:32	0.672531,2.226646,0.327361	0.000000,0.000000,0.000000	0.000000,0.000000,0.000000	0.672531,2.226646,0.327361	0
16:10:32	0.672472,2.226607,0.327286	0.000000,0.000000,0.000000	0.000000,0.000000,0.000000	0.672472,2.226607,0.327286	0
16:10:32	0.672530,2.226647,0.327377	0.000000,0.000000,0.000000	0.000000,0.000000,0.000000	0.672530,2.226647,0.327377	0
16:10:32	0.672474,2.226624,0.327280	0.000000,0.000000,0.000000	0.000000,0.000000,0.000000	0.672474,2.226624,0.327280	0
16:10:32	0.672478,2.226612,0.327287	0.000000,0.000000,0.000000	0.000000,0.000000,0.000000	0.672478,2.226612,0.327287	0
16:10:32	0.672532,2.226644,0.327374	0.000000,0.000000,0.000000	0.000000,0.000000,0.000000	0.672532,2.226644,0.327374	0
16:10:32	0.672548,2.226648,0.327377	0.000000,0.000000,0.000000	0.000000,0.000000,0.000000	0.672548,2.226648,0.327377	0
16:10:32	0.672547,2.226642,0.327376	0.000000,0.000000,0.000000	0.000000,0.000000,0.000000	0.672547,2.226642,0.327376	0
16:10:33	0.672537,2.226625,0.327356	0.000000,0.000000,0.000000	0.000000,0.000000,0.000000	0.672537,2.226625,0.327356	0
16:10:33	0.672479,2.226611,0.327249	0.000000,0.000000,0.000000	0.000000,0.000000,0.000000	0.672479,2.226611,0.327249	0
16:10:33	0.672477,2.226615,0.327256	0.000000,0.000000,0.000000	0.000000,0.000000,0.000000	0.672477,2.226615,0.327256	0
16:10:33	0.672547,2.226665,0.327377	0.000000,0.000000,0.000000	0.000000,0.000000,0.000000	0.672547,2.226665,0.327377	0
16:10:33	0.672480,2.226631,0.327292	0.000000,0.000000,0.000000	0.000000,0.000000,0.000000	0.672480,2.226631,0.327292	0
16:10:33	0.672468,2.226623,0.327261	0.000000,0.000000,0.000000	0.000000,0.000000,0.000000	0.672468,2.226623,0.327261	0
16:10:33	0.672522,2.226657,0.327374	0.000000,0.000000,0.000000	0.000000,0.000000,0.000000	0.672522,2.226657,0.327374	0
16:10:33	0.672541,2.226639,0.327399	0.000000,0.000000,0.000000	0.000000,0.000000,0.000000	0.672541,2.226639,0.327399	0
16:10:33	0.672540,2.226652,0.327371	0.709004,2.090056,0.477204	0.000000,0.000000,0.000000	0.672540,2.226652,0.327371	0
16:10:33	0.672531,2.226649,0.327365	0.709006,2.090052,0.477179	0.000000,0.000000,0.000000	0.672531,2.226649,0.327365	0
16:10:34	0.672531,2.226646,0.327363	0.675558,2.066861,0.343560	0.000000,0.000000,0.000000	0.672531,2.226646,0.327363	0
16:10:34	0.672530,2.226645,0.327355	0.675547,2.066849,0.343552	0.000000,0.000000,0.000000	0.672530,2.226645,0.327355	0
16:10:34	0.672543,2.226666,0.327381	0.675565,2.066873,0.343577	0.000000,0.000000,0.000000	0.672543,2.226666,0.327381	0
16:10:34	0.672478,2.226621,0.327280	0.675564,2.066860,0.343578	0.000000,0.000000,0.000000	0.672478,2.226621,0.327280	0
16:10:34	0.672527,2.226656,0.327371	0.675602,2.066891,0.343638	0.000000,0.000000,0.000000	0.672527,2.226656,0.327371	0
16:10:34	0.672490,2.226552,0.327395	0.675558,2.066845,0.343580	0.000000,0.000000,0.000000	0.672490,2.226552,0.327395	0
16:10:34	0.672542,2.226635,0.327406	0.675615,2.066873,0.343678	0.000000,0.000000,0.000000	0.672542,2.226635,0.327406	0
16:10:34	0.672522,2.226637,0.327383	0.675616,2.066856,0.343653	0.000000,0.000000,0.000000	0.672522,2.226637,0.327383	0
16:10:34	0.672470,2.226602,0.327305	0.675617,2.066876,0.343633	0.000000,0.000000,0.000000	0.672470,2.226602,0.327305	0
16:10:34	0.672477,2.226601,0.327301	0.675615,2.066871,0.343633	0.000000,0.000000,0.000000	0.672477,2.226601,0.327301	0
16:10:35	0.672537,2.226642,0.327383	0.675617,2.066880,0.343635	0.000000,0.000000,0.000000	0.672537,2.226642,0.327383	0
16:10:35	0.672491,2.226611,0.327261	0.675612,2.066894,0.343629	0.000000,0.000000,0.000000	0.672491,2.226611,0.327261	0
16:10:35	0.672468,2.226625,0.327241	0.675560,2.066850,0.343545	0.000000,0.000000,0.000000	0.672468,2.226625,0.327241	0
16:10:35	0.672478,2.226621,0.327266	0.675557,2.066852,0.343540	0.000000,0.000000,0.000000	0.672478,2.226621,0.327266	0
16:10:35	0.672544,2.226668,0.327371	0.675611,2.066901,0.343645	0.000000,0.000000,0.000000	0.672544,2.226668,0.327371	0
16:10:35	0.672480,2.226625,0.327264	0.675618,2.066894,0.343649	0.000000,0.000000,0.000000	0.672480,2.226625,0.327264	0
16:10:35	0.672475,2.226606,0.327270	0.675562,2.066854,0.343576	0.000000,0.000000,0.000000	0.672475,2.226606,0.327270	0
16:10:35	0.672527,2.226648,0.327375	0.675597,2.066886,0.343625	0.000000,0.000000,0.000000	0.672527,2.226648,0.327375	0
16:10:35	0.672492,2.226611,0.327304	0.675573,2.066848,0.343586	0.000000,0.000000,0.000000	0.672492,2.226611,0.327304	0
16:10:35	0.672540,2.226652,0.327372	0.675542,2.066755,0.343580	0.000000,0.000000,0.000000	0.672540,2.226652,0.327372	0
