# Flight Log 
# 25 08 17 - 16:10:32
Time		X,Y,Z				goalX,goalY,goalZ		ddx,ddy,ddz			angularx,angulary,angularz	battery
16:10:32	0.000000,0.000000,0.000000	0.000000,0.000000,0.000000	0.000000,0.000000,0.000000	0.000000,0.000000,0.000000	0
16:10:32	0.698355,0.838848,0.408475	0.000000,0.000000,0.000000	0.000000,0.000000,0.000000	0.698355,0.838848,0.408475	0
16:10:32	0.698325,0.838855,0.408536	0.000000,0.000000,0.000000	0.000000,0.000000,0.000000	0.698325,0.838855,0.408536	0
16:10:32	0.698262,0.838870,0.408584	0.000000,0.000000,0.000000	0.000000,0.000000,0.000000	0.698262,0.838870,0.408584	0
16:10:32	0.698250,0.838877,0.408582	0.000000,0.000000,0.000000	0.000000,0.000000,0.000000	0.698250,0.838877,0.408582	0
16:10:32	0.698235,0.838880,0.408597	0.000000,0.000000,0.000000	0.000000,0.000000,0.000000	0.698235,0.838880,0.408597	0
16:10:32	0.698252,0.838880,0.408582	0.000000,0.000000,0.000000	0.000000,0.000000,0.000000	0.698252,0.838880,0.408582	0
16:10:32	0.698304,0.838873,0.408534	0.000000,0.000000,0.000000	0.000000,0.000000,0.000000	0.698304,0.838873,0.408534	0
16:10:32	0.698209,0.838878,0.408640	0.000000,0.000000,0.000000	0.000000,0.000000,0.000000	0.698209,0.838878,0.408640	0
16:10:33	0.698244,0.838859,0.408579	0.000000,0.000000,0.000000	0.000000,0.000000,0.000000	0.698244,0.838859,0.408579	0
16:10:33	0.698216,0.838864,0.408601	0.000000,0.000000,0.000000	0.000000,0.000000,0.000000	0.698216,0.838864,0.408601	0
16:10:33	0.698280,0.838896,0.408441	0.000000,0.000000,0.000000	0.000000,0.000000,0.000000	0.698280,0.838896,0.408441	0
16:10:33	0.698294,0.838911,0.408460	0.000000,0.000000,0.000000	0.000000,0.000000,0.000000	0.698294,0.838911,0.408460	0
16:10:33	0.698217,0.838883,0.408604	0.000000,0.000000,0.000000	0.000000,0.000000,0.000000	0.698217,0.838883,0.408604	0
16:10:33	0.698269,0.838886,0.408446	0.000000,0.000000,0.000000	0.000000,0.000000,0.000000	0.698269,0.838886,0.408446	0
16:10:33	0.698270,0.838872,0.408512	0.000000,0.000000,0.000000	0.000000,0.000000,0.000000	0.698270,0.838872,0.408512	0
16:10:33	0.698338,0.838870,0.408538	0.000000,0.000000,0.000000	0.000000,0.000000,0.000000	0.698338,0.838870,0.408538	0
16:10:33	0.698354,0.838851,0.408479	0.768978,0.876615,0.685577	0.000000,0.000000,0.000000	0.698354,0.838851,0.408479	0
16:10:33	0.698271,0.838911,0.408494	0.768961,0.876619,0.685502	0.000000,0.000000,0.000000	0.698271,0.838911,0.408494	0
16:10:34	0.698310,0.838865,0.408529	0.699986,0.998669,0.391673	0.000000,0.000000,0.000000	0.698310,0.838865,0.408529	0
16:10:34	0.698276,0.838910,0.408479	0.699021,0.998826,0.400977	0.000000,0.000000,0.000000	0.698276,0.838910,0.408479	0
16:10:34	0.698283,0.838910,0.408494	0.698794,0.998880,0.403669	0.000000,0.000000,0.000000	0.698283,0.838910,0.408494	0
16:10:34	0.698358,0.838866,0.408480	0.698816,0.998854,0.403658	0.000000,0.000000,0.000000	0.698358,0.838866,0.408480	0
