# Flight Log 
# 25 08 17 - 17:19:14
Time		X,Y,Z				goalX,goalY,goalZ		ddx,ddy,ddz			angularx,angulary,angularz	battery
17:19:14	0.000000,0.000000,0.000000	0.000000,0.000000,0.000000	0.000000,0.000000,0.000000	0.000000,0.000000,0.000000	0
17:19:14	0.698677,0.825723,0.409944	0.000000,0.000000,0.000000	0.000000,0.000000,0.000000	0.698677,0.825723,0.409944	0
17:19:14	0.698649,0.825754,0.409857	0.699035,0.827786,0.729917	-0.038320,0.088616,10.293794	0.698662,0.825768,0.409921	0
17:19:15	0.698688,0.825760,0.409867	0.699025,0.827819,0.729894	-0.107776,0.256267,10.324929	0.698688,0.825760,0.409867	3.53665685654
17:19:15	0.698701,0.825833,0.409932	0.699026,0.827824,0.729825	-0.021555,0.026345,10.217153	0.698701,0.825833,0.409932	3.5313782692
17:19:15	0.698717,0.825777,0.409794	0.699053,0.827866,0.729906	0.011975,0.119751,10.267449	0.698717,0.825777,0.409794	3.5313782692
17:19:15	0.698746,0.825768,0.409804	0.699030,0.827855,0.729853	-0.138911,0.088616,10.351274	0.698746,0.825768,0.409804	3.51554250717
17:19:15	0.698703,0.825760,0.409858	0.699046,0.827838,0.729850	-0.023950,-0.023950,10.449470	0.698703,0.825760,0.409858	3.50498533249
17:19:15	0.698651,0.825654,0.409868	0.699055,0.827813,0.729831	-0.160466,0.213157,10.250684	0.698651,0.825654,0.409868	3.49970674515
17:19:15	0.698696,0.825565,0.409833	0.699017,0.827736,0.729840	-0.052690,0.325723,10.286609	0.698696,0.825565,0.409833	3.49970674515
17:19:15	0.698824,0.825368,0.409745	0.699049,0.827671,0.729805	-0.126936,-0.057480,10.305769	0.698714,0.825336,0.409930	3.48387098312
17:19:15	0.698715,0.825284,0.409984	0.699063,0.827504,0.729900	-0.047900,-0.107776,10.248289	0.698715,0.825284,0.409984	3.47331380844
17:19:15	0.698938,0.825006,0.409959	0.699063,0.827467,0.729953	-0.028740,0.301772,10.289004	0.698938,0.825006,0.409959	3.4680352211
17:19:16	0.699248,0.824902,0.409870	0.699226,0.827264,0.729926	0.000000,0.141306,10.418335	0.699248,0.824902,0.409870	3.4680352211
17:19:16	0.699286,0.825213,0.410227	0.699452,0.827188,0.729837	0.043110,-0.112566,10.545271	0.699286,0.825213,0.410227	3.44692087173
17:19:16	0.699288,0.825258,0.410065	0.699480,0.827416,0.730196	0.081431,0.040715,10.358459	0.699288,0.825258,0.410065	3.44164228439
17:19:16	0.699106,0.824859,0.410048	0.699481,0.827448,0.730035	-0.083826,0.050295,10.569221	0.699106,0.824859,0.410048	3.43108510971
17:19:16	0.699089,0.824590,0.410021	0.699348,0.827157,0.730015	0.107776,-0.045505,10.514136	0.699089,0.824590,0.410021	3.42052793503
17:19:16	0.699106,0.824336,0.410087	0.699336,0.826961,0.729986	-0.232317,0.210762,10.224338	0.699106,0.824336,0.410087	3.41524934769
