# Flight Log 
# 25 08 17 - 19:20:25
Time		X,Y,Z				goalX,goalY,goalZ		ddx,ddy,ddz			angularx,angulary,angularz	battery
19:20:25	0.000000,0.000000,0.000000	0.000000,0.000000,0.000000	0.000000,0.000000,0.000000	0.000000,0.000000,0.000000	0
19:20:25	1.068158,4.183827,0.387152	0.000000,0.000000,0.000000	0.000000,0.000000,0.000000	1.068158,4.183827,0.387152	0
19:20:25	1.068199,4.183287,0.387048	1.252811,4.106557,0.398157	0.000000,0.000000,0.000000	1.068199,4.183287,0.387048	0
19:20:26	1.068199,4.183287,0.387048	1.253045,4.107141,0.398662	0.000000,0.000000,0.000000	1.068199,4.183287,0.387048	0
19:20:26	1.068199,4.183287,0.387048	1.253009,4.107044,0.398441	0.000000,0.000000,0.000000	1.068199,4.183287,0.387048	0
19:20:26	1.068199,4.183287,0.387048	1.253007,4.107038,0.398400	0.000000,0.000000,0.000000	1.068199,4.183287,0.387048	0
19:20:26	1.068199,4.183287,0.387048	1.253064,4.107182,0.398504	0.000000,0.000000,0.000000	1.068199,4.183287,0.387048	0
19:20:26	1.068712,4.183259,0.386948	1.253070,4.107191,0.398363	0.000000,0.000000,0.000000	1.068712,4.183259,0.386948	0
19:20:26	1.068712,4.183259,0.386948	1.253558,4.107096,0.398074	0.000000,0.000000,0.000000	1.068712,4.183259,0.386948	0
19:20:26	1.068712,4.183259,0.386948	1.253616,4.107236,0.398082	0.000000,0.000000,0.000000	1.068712,4.183259,0.386948	0
19:20:26	1.068157,4.183836,0.387158	1.253583,4.107165,0.398314	0.000000,0.000000,0.000000	1.068157,4.183836,0.387158	0
19:20:26	1.068157,4.183836,0.387158	1.253161,4.108089,0.399209	0.000000,0.000000,0.000000	1.068157,4.183836,0.387158	0
19:20:26	1.068157,4.183836,0.387158	1.253233,4.108250,0.398789	0.000000,0.000000,0.000000	1.068157,4.183836,0.387158	0
19:20:27	1.068157,4.183836,0.387158	1.253234,4.108251,0.398762	0.000000,0.000000,0.000000	1.068157,4.183836,0.387158	0
19:20:27	1.068157,4.183836,0.387158	1.253231,4.108260,0.399163	0.000000,0.000000,0.000000	1.068157,4.183836,0.387158	0
19:20:27	1.068157,4.183836,0.387158	1.253307,4.108441,0.399007	0.000000,0.000000,0.000000	1.068157,4.183836,0.387158	0
19:20:27	1.068157,4.183836,0.387158	1.253338,4.108510,0.398877	0.000000,0.000000,0.000000	1.068157,4.183836,0.387158	0
19:20:27	1.068157,4.183836,0.387158	1.253268,4.108345,0.399042	0.000000,0.000000,0.000000	1.068157,4.183836,0.387158	0
19:20:27	1.068160,4.183813,0.387152	1.253240,4.108273,0.398911	0.000000,0.000000,0.000000	1.068160,4.183813,0.387152	0
19:20:27	1.068160,4.183813,0.387152	1.253283,4.108332,0.398491	0.000000,0.000000,0.000000	1.068160,4.183813,0.387152	0
19:20:27	1.068160,4.183813,0.387152	1.253235,4.108209,0.398339	0.000000,0.000000,0.000000	1.068160,4.183813,0.387152	0
19:20:27	1.068160,4.183813,0.387152	1.253227,4.108200,0.398609	0.000000,0.000000,0.000000	1.068160,4.183813,0.387152	0
19:20:27	1.068197,4.183300,0.387061	1.253917,4.107867,0.399261	0.000000,0.000000,0.000000	1.068197,4.183300,0.387061	0
19:20:28	1.068197,4.183300,0.387061	1.252965,4.106950,0.398308	0.000000,0.000000,0.000000	1.068197,4.183300,0.387061	0
19:20:28	1.068201,4.183299,0.387020	1.252981,4.106976,0.398165	0.000000,0.000000,0.000000	1.068201,4.183299,0.387020	0
19:20:28	1.068195,4.183647,0.387290	1.253061,4.107176,0.398329	0.000000,0.000000,0.000000	1.068195,4.183647,0.387290	0
19:20:28	1.068195,4.183647,0.387290	1.253288,4.108108,0.399035	0.000000,0.000000,0.000000	1.068195,4.183647,0.387290	0
19:20:28	1.068195,4.183647,0.387290	1.253267,4.108054,0.398917	0.000000,0.000000,0.000000	1.068195,4.183647,0.387290	0
19:20:28	1.068195,4.183647,0.387290	1.253179,4.107878,0.399922	0.000000,0.000000,0.000000	1.068195,4.183647,0.387290	0
19:20:28	1.068195,4.183647,0.387290	1.253178,4.107831,0.398811	0.000000,0.000000,0.000000	1.068195,4.183647,0.387290	0
