# Flight Log 
# 25 08 17 - 18:40:01
Time		X,Y,Z				goalX,goalY,goalZ		ddx,ddy,ddz			angularx,angulary,angularz	battery
18:40:01	0.000000,0.000000,0.000000	0.000000,0.000000,0.000000	0.000000,0.000000,0.000000	0.000000,0.000000,0.000000	0
18:40:01	0.000000,0.000000,0.000000	0.000000,0.000000,0.000000	0.000000,0.000000,0.000000	0.000000,0.000000,0.000000	0
18:40:01	0.692809,0.824012,0.409943	0.768387,0.881580,0.377954	-0.124541,0.112566,10.308164	0.692809,0.824012,0.409943	3.71612906456
18:40:02	0.692693,0.824039,0.410013	0.768359,0.881561,0.378117	-0.126936,0.110171,10.303374	0.692693,0.824039,0.410013	3.71612906456
18:40:02	0.692735,0.824062,0.409951	0.768360,0.881561,0.378125	-0.126936,0.112566,10.312954	0.692735,0.824062,0.409951	3.71612906456
18:40:02	0.692697,0.824027,0.410013	0.768348,0.881568,0.378134	-0.131726,0.114961,10.303374	0.692697,0.824027,0.410013	3.71612906456
18:40:02	0.692771,0.824051,0.409933	0.768350,0.881568,0.378104	-0.134121,0.114961,10.300979	0.692771,0.824051,0.409933	3.71612906456
18:40:02	0.692747,0.824065,0.409945	0.768310,0.881592,0.378165	-0.138911,0.122146,10.303374	0.692747,0.824065,0.409945	3.71612906456
18:40:02	0.692749,0.824068,0.409935	0.768316,0.881594,0.378157	-0.126936,0.117356,10.293794	0.692749,0.824068,0.409935	3.71612906456
18:40:02	0.692755,0.824056,0.409938	0.768356,0.881565,0.378099	-0.131726,0.112566,10.296189	0.692755,0.824056,0.409938	3.71612906456
18:40:02	0.692743,0.824065,0.409947	0.768353,0.881556,0.378122	-0.126936,0.112566,10.298584	0.692743,0.824065,0.409947	3.71612906456
18:40:02	0.692744,0.824068,0.409945	0.768362,0.881563,0.378098	-0.129331,0.112566,10.305769	0.692744,0.824068,0.409945	3.71612906456
18:40:02	0.692758,0.824048,0.409929	0.768354,0.881562,0.378134	-0.124541,0.112566,10.300979	0.692758,0.824048,0.409929	3.71612906456
18:40:03	0.692735,0.824061,0.409960	0.768391,0.881579,0.441931	-0.134121,0.112566,10.298584	0.692735,0.824061,0.409960	3.71612906456
18:40:03	0.692760,0.824061,0.409933	0.768316,0.881589,0.378160	-0.134121,0.119751,10.298584	0.692760,0.824061,0.409933	3.71612906456
18:40:03	0.692748,0.824063,0.409937	0.768349,0.881557,0.378113	-0.134121,0.114961,10.291399	0.692748,0.824063,0.409937	3.71612906456
18:40:03	0.692761,0.824028,0.409950	0.768322,0.881612,0.378212	-0.119751,0.117356,10.293794	0.692761,0.824028,0.409950	3.71612906456
18:40:03	0.692761,0.824021,0.409917	0.768355,0.881567,0.378121	-0.143701,0.100591,10.308164	0.692761,0.824021,0.409917	3.65278601646
18:40:03	0.692742,0.824028,0.409949	0.768344,0.881571,0.378166	-0.162861,0.134121,10.312954	0.692742,0.824028,0.409949	3.64750742912
18:40:03	0.692771,0.824029,0.409956	0.768366,0.881580,0.378053	-0.126936,0.129331,10.377620	0.692771,0.824029,0.409956	3.64222884178
18:40:03	0.691959,0.824901,0.410330	0.768312,0.881626,0.378166	-0.189207,0.162861,10.162068	0.691959,0.824901,0.410330	3.63695025444
18:40:03	0.691933,0.824921,0.410316	0.768351,0.881566,0.378111	-0.182021,0.131726,10.380015	0.691933,0.824921,0.410316	3.62639307976
18:40:03	0.692759,0.824049,0.409923	0.768362,0.881575,0.442114	-0.146096,0.079036,10.296189	0.692759,0.824049,0.409923	3.62111449242
18:40:04	0.692722,0.824013,0.410027	0.768384,0.881583,0.377988	-0.091011,0.134121,10.324929	0.692722,0.824013,0.410027	3.61583590508
18:40:04	0.692719,0.824030,0.410012	0.768315,0.881601,0.442158	-0.143701,0.105381,9.951306	0.692719,0.824030,0.410012	3.61055731773
18:40:04	0.692780,0.824048,0.409904	0.768351,0.881574,0.442143	-0.098196,0.153281,10.269844	0.692780,0.824048,0.409904	3.60000014305
18:40:04	0.691948,0.824887,0.410307	0.768363,0.881586,0.377997	-0.177231,0.000000,10.152488	0.691948,0.824887,0.410307	3.59472155571
18:40:04	0.692730,0.824034,0.409927	0.768350,0.881587,0.442126	-0.165256,0.083826,10.159673	0.692730,0.824034,0.409927	3.58944296837
18:40:04	0.692716,0.824027,0.409969	0.768356,0.881561,0.442145	-0.110171,0.074246,10.466235	0.692716,0.824027,0.409969	3.57888579369
18:40:04	0.692669,0.824000,0.410047	0.768311,0.881604,0.378086	-0.076641,0.105381,10.478210	0.692669,0.824000,0.410047	3.57888579369
18:40:04	0.692768,0.823945,0.409915	0.768367,0.881563,0.442041	-0.138911,0.014370,10.353669	0.692768,0.823945,0.409915	3.568328619
18:40:04	0.692756,0.823857,0.410024	0.768351,0.881676,0.441890	-0.220342,-0.028740,10.454260	0.692756,0.823857,0.410024	3.55777144432
18:40:04	0.692812,0.823852,0.410000	0.768859,0.881170,0.440890	-0.095801,0.086221,10.435100	0.692812,0.823852,0.410000	3.55249285698
18:40:05	0.692152,0.824916,0.410297	0.768328,0.881675,0.377821	-0.167651,0.167651,10.403965	0.692152,0.824916,0.410297	3.54193544388
18:40:05	0.692800,0.824023,0.410008	0.768709,0.881102,0.441199	-0.146096,0.153281,10.277029	0.692800,0.824023,0.410008	3.53665685654
18:40:05	0.693276,0.823870,0.409910	0.768283,0.881556,0.441917	0.014370,0.119751,10.195598	0.693276,0.823870,0.409910	3.52609968185
18:40:05	0.693401,0.823740,0.409785	0.767978,0.881724,0.442285	-0.043110,0.114961,10.418335	0.693401,0.823740,0.409785	3.52082109451
18:40:05	0.693563,0.823793,0.409945	0.767767,0.881835,0.378655	0.011975,0.093406,10.356064	0.693563,0.823793,0.409945	3.51026391983
18:40:05	0.693963,0.823451,0.409920	0.767791,0.881785,0.377875	-0.174836,-0.100591,10.368040	0.693963,0.823451,0.409920	3.49970674515
18:40:05	0.695001,0.823308,0.409187	0.767681,0.881887,0.377950	-0.110171,0.055085,10.202783	0.695001,0.823308,0.409187	3.49442815781
18:40:05	0.694211,0.823513,0.409901	0.766948,0.882030,0.379670	-0.167651,0.227527,9.912986	0.694211,0.823513,0.409901	3.48387098312
18:40:05	0.695363,0.823759,0.409890	0.767115,0.881864,0.377854	-0.205972,0.234712,10.370435	0.695363,0.823759,0.409890	3.47331380844
18:40:05	0.694429,0.824424,0.410249	0.766394,0.881653,0.380026	-0.198787,-0.088616,10.047107	0.694429,0.824424,0.410249	3.45219945908
18:40:06	0.694851,0.822805,0.410331	0.767113,0.882039,0.441821	-0.203577,0.486189,10.387200	0.694851,0.822805,0.410331	3.44164228439
18:40:06	0.696166,0.822909,0.410351	0.766732,0.882262,0.441118	-0.318538,0.155676,10.396780	0.696166,0.822909,0.410351	3.43108510971
18:40:06	0.697492,0.820912,0.409983	0.765583,0.882985,0.442250	-0.064666,0.150886,10.506951	0.697492,0.820912,0.409983	3.42052793503
18:40:06	0.699674,0.818277,0.409084	0.764678,0.884328,0.442938	-0.376018,0.016765,10.123748	0.699674,0.818277,0.409084	3.40997076035
18:40:06	0.700438,0.816672,0.409855	0.764391,0.885565,0.377945	-0.081431,-0.052690,10.296189	0.700438,0.816672,0.409855	3.39941358566
18:40:06	0.702350,0.815059,0.409601	0.763165,0.886553,0.378556	-0.043110,0.387993,10.439890	0.702350,0.815059,0.409601	3.38357782364
